% Model,mush.mph
% Version,COMSOL 5.5.0.292
% Date,"Oct 14 2022, 07:24"
% Dimension,2
% Nodes,5022
% Expressions,1
% Description,Line
% r,z,Color
0,0.15528022958362322,7.027022390894927E-9
0,0.15601022776315893,7.658886633943978E-9
0,0.15674022594269463,8.333655007143925E-9
0,0.15741115107676126,9.009675298977438E-9
0,0.1580820762108279,9.761345999433125E-9
0,0.15875300134489456,1.0588667108510992E-8
0,0.1594239264789612,1.1491638626211034E-8
0,0.16009485161302783,1.2470260552533254E-8
0,0.16076577674709447,1.352453288747765E-8
0,0.1614367018811611,1.4654455631044224E-8
0,0.16210762701522777,1.5860028783232977E-8
0,0.1627785521492944,1.7141252344043904E-8
0,0.16346092736173778,1.855104959334832E-8
0,0.1641433025741812,2.0125851730382968E-8
0,0.1648256777866246,2.1865658755147848E-8
0,0.16550805299906796,2.377047066764295E-8
0,0.16619042821151137,2.5840287467868287E-8
0,0.16687280342395477,2.8075109155823854E-8
0,0.16755517863639816,3.0474935731509646E-8
0,0.16823755384884154,3.303976719492567E-8
0,0.16891992906128495,3.576960354607193E-8
0,0.1696317403771405,3.881279114209462E-8
0,0.17034355169299606,4.2242283768404476E-8
0,0.17105536300885166,4.6058081425001485E-8
0,0.17176717432470723,5.0260184111885635E-8
0,0.17247898564056274,5.4848591829056945E-8
0,0.17319079695641834,5.982330457651541E-8
0,0.17390260827227388,6.518432235426103E-8
0,0.17461441958812948,7.09316451622938E-8
0,0.17532623090398503,7.706527300061373E-8
0,0.1761350670768521,8.453309768815731E-8
0,0.17694390324971918,9.313525362410768E-8
0,0.17775273942258624,1.0287174080846484E-7
0,0.1785615755954533,1.1374255924122877E-7
0,0.1793704117683204,1.257477089223995E-7
0,0.18017924794118745,1.3888718985197704E-7
0,0.1809880841140545,1.5316100202996137E-7
0,0.18179692028692157,1.6856914545635248E-7
0,0.18260575645978866,1.851116201311504E-7
0,0.18346878252512397,2.0418246592216807E-7
0,0.18433180859045928,2.2638230721397238E-7
0,0.18519483465579462,2.5171114400656333E-7
0,0.18605786072112995,2.801689762999409E-7
0,0.18692088678646523,3.117558040941051E-7
0,0.18778391285180057,3.464716273890559E-7
0,0.1886469389171359,3.8431644618479343E-7
0,0.18950996498247122,4.2529026048131753E-7
0,0.19037299104780653,4.6939307027862833E-7
0,0.19111378490629674,5.116006247358961E-7
0,0.19185457876478698,5.593069207692353E-7
0,0.1925953726232772,6.12511958378646E-7
0,0.19333616648176744,6.712157375641278E-7
0,0.19407696034025768,7.354182583256811E-7
0,0.19481775419874786,8.051195206633058E-7
0,0.1955585480572381,8.803195245770019E-7
0,0.19629934191572831,9.610182700667693E-7
0,0.19704013577421856,1.047215757132608E-6
0,0.1977036852825817,1.131639397260021E-6
0,0.19836723479094487,1.225459205727262E-6
0,0.19903078429930804,1.3286751825343307E-6
0,0.19969433380767115,1.4412873276812268E-6
0,0.20035788331603432,1.5632956411679509E-6
0,0.20102143282439747,1.6947001229945025E-6
0,0.2016849823327606,1.835500773160882E-6
0,0.20234853184112378,1.985697591667089E-6
0,0.20301208134948692,2.145290578513124E-6
0,0.2036741011512631,2.317275716622257E-6
0,0.20433612095303932,2.508652366385946E-6
0,0.20499814075481554,2.71942052780419E-6
0,0.2056601605565917,2.9495802008769894E-6
0,0.2063221803583679,3.1991313856043447E-6
0,0.2069842001601441,3.4680740819862557E-6
0,0.2076462199619203,3.756408290022722E-6
0,0.2083082397636965,4.064134009713744E-6
0,0.2089702595654727,4.391251241059321E-6
0,0.20965776973214162,4.754255719911885E-6
0,0.21034527989881058,5.1610007852631105E-6
0,0.21103279006547954,5.611486437113E-6
0,0.21172030023214847,6.105712675461553E-6
0,0.21240781039881743,6.643679500308769E-6
0,0.21309532056548636,7.225386911654647E-6
0,0.21378283073215532,7.850834909499188E-6
0,0.21447034089882425,8.520023493842395E-6
0,0.2151578510654932,9.232952664684263E-6
0,0.21596329078141277,1.0124157929491726E-5
0,0.21676873049733236,1.1149670816700281E-5
0,0.21757417021325193,1.2309491326309924E-5
0,0.2183796099291715,1.3603619458320656E-5
0,0.21918504964509106,1.5032055212732479E-5
0,0.21999048936101062,1.659479858954539E-5
0,0.22079592907693024,1.8291849588759392E-5
0,0.2216013687928498,2.0123208210374486E-5
0,0.22240680850876937,2.208887445439067E-5
0,0.22326167801141872,2.436758147756444E-5
0,0.2241165475140681,2.7006600417307268E-5
0,0.22497141701671744,3.0005931273619152E-5
0,0.2258262865193668,3.336557404650009E-5
